instance,eval,gs,nc,ne,ps,xi
C2_4_8,3826.0,10,0.6,0.2,5,0.6
R2_8_6,21606.39,10,0.4,0.6,5,0.8
R1_4_1,10491.56,10,0.6,0.6,5,0.2
C2_4_5,3922.94,10,0.8,0.2,5,0.2
RC1_8_6,30784.02,10,0.1,0.2,5,0.4
R1_6_8,16377.65,10,0.1,0.2,5,0.8
R1_4_2,9196.19,10,0.1,0.2,5,0.6
RC1_2_5,3331.19,20,0.4,0.4,5,0.4
C2_4_10,3748.52,10,0.8,0.2,5,0.8
R1_6_10,18515.92,10,0.1,0.8,5,0.6
C2_10_1,18183.6,10,0.4,0.8,5,0.8
C2_2_3,1766.33,10,0.6,0.1,5,0.2
RC2_6_3,9395.24,10,0.6,0.4,5,0.4
C1_8_4,25043.88,10,0.1,0.1,5,0.6
C1_8_3,25377.02,20,0.1,0.8,5,0.4
RC2_4_8,4814.52,10,0.8,0.4,5,0.4
R1_8_3,29286.12,10,0.1,0.4,5,0.2
RC2_6_4,7428.68,10,0.8,0.4,5,0.4
R1_8_9,34454.6,10,0.1,0.6,5,0.6
RC1_8_3,28945.03,10,0.1,0.4,5,0.4
C2_8_2,12338.42,10,0.1,0.2,5,0.2
C2_6_3,7594.83,10,0.6,0.6,5,0.4
RC2_8_3,15449.9,10,0.8,0.6,5,0.8
R2_6_3,11161.74,10,0.4,0.8,5,0.8
C2_4_9,3881.96,10,0.8,0.4,5,0.4
R2_6_5,14449.3,10,0.8,0.4,5,0.8
C1_10_10,42420.27,10,0.1,0.1,5,0.4
C1_8_9,25183.1,10,0.1,0.4,5,0.4
C2_10_5,18574.78,10,0.8,0.4,5,0.8
RC1_10_1,46643.37,10,0.1,0.6,5,0.4
R2_6_7,10448.79,10,0.1,0.8,5,0.4
R1_6_4,16566.44,10,0.1,0.8,5,0.8
R1_2_1,4641.21,10,0.8,0.2,5,0.2
R1_6_9,19423.26,10,0.2,0.8,5,0.6
C2_6_1,7834.18,10,0.8,0.4,5,0.4
C2_4_2,3948.71,10,0.2,0.4,5,0.2
C1_4_6,7112.0,40,0.8,0.4,15,0.4
R2_10_2,34840.63,10,0.2,0.6,5,0.8
RC1_2_2,3238.15,10,0.4,0.1,5,0.2
R2_2_3,2540.28,10,0.6,0.4,15,0.4
RC2_10_10,23281.59,10,0.4,0.6,5,0.2
R2_6_4,8355.05,10,0.4,0.8,5,0.4
R2_10_6,32760.0,10,0.8,0.6,5,0.8
R1_4_8,7477.01,10,0.6,0.8,5,0.6
C1_4_5,7112.0,40,0.8,0.4,15,0.4
RC2_10_7,26861.98,10,0.4,0.8,5,0.8
RC1_10_9,46762.4,10,0.1,0.8,5,0.6
RC2_6_8,10263.68,10,0.2,0.4,5,0.2
RC2_4_7,5073.07,10,0.4,0.4,5,0.4
R1_8_10,32822.0,40,0.4,0.4,25,0.4
C1_6_9,13981.73,10,0.8,0.6,5,0.2
R2_4_1,7658.2,10,0.8,0.2,5,0.2
R1_2_9,3757.37,10,0.6,0.2,5,0.6
C2_8_4,11785.6,10,0.8,0.8,5,0.4
RC1_2_10,3013.44,10,0.4,0.4,5,0.6
R1_8_1,16116.73,10,0.1,0.2,5,0.8
R2_2_2,3012.62,10,0.2,0.4,15,0.4
C2_6_7,7805.06,10,0.8,0.2,5,0.6
C1_4_9,7005.18,10,0.4,0.6,15,0.2
C2_6_2,7549.8,10,0.4,0.2,5,0.8
RC1_2_9,3096.19,20,0.6,0.4,5,0.4
C2_8_5,12120.77,20,0.1,0.6,5,0.8
C1_8_5,25104.91,10,0.2,0.4,5,0.6
RC1_6_8,16705.83,10,0.8,0.8,5,0.8
C1_10_1,42480.76,10,0.1,0.6,5,0.2
C2_2_4,1701.48,10,0.6,0.1,5,0.8
RC2_4_1,6219.55,20,0.8,0.2,5,0.8
RC1_4_8,7966.24,10,0.8,0.6,5,0.6
C2_2_5,1866.0,10,0.1,0.2,15,0.6
RC2_8_6,18366.1,10,0.2,0.6,5,0.8
R2_8_10,21671.55,10,0.2,0.6,5,0.8
C2_2_2,1851.25,20,0.4,0.4,25,0.8
C1_6_1,14045.0,20,0.6,0.2,5,0.1
C2_2_7,1839.0,20,0.2,0.2,15,0.6
C1_10_5,42525.43,10,0.1,0.6,5,0.2
R1_10_9,52932.99,10,0.4,0.6,5,0.4
C2_8_3,12082.52,10,0.8,0.6,5,0.4
C1_6_7,14022.14,10,0.6,0.4,5,0.2
RC2_2_2,2480.69,20,0.6,0.4,15,0.4
RC2_2_9,2085.45,20,0.8,0.4,15,0.8
RC1_6_1,17795.04,10,0.1,0.2,5,0.6
R2_2_8,1849.56,20,0.6,0.2,15,0.4
C2_10_3,19185.32,10,0.1,0.8,5,0.8
RC2_4_10,4382.85,20,0.6,0.4,5,0.4
C1_2_9,2630.41,10,0.2,0.2,5,0.6
R1_4_9,8885.76,10,0.2,0.6,5,0.2
RC2_6_7,10754.4,10,0.8,0.4,5,0.8
RC1_6_4,15459.24,10,0.1,0.2,5,0.6
R2_4_6,6016.71,10,0.4,0.8,5,0.4
C2_6_8,7594.15,10,0.8,0.4,5,0.8
RC1_8_10,29535.42,10,0.2,0.4,5,0.4
RC1_10_2,47086.51,10,0.1,0.8,5,0.4
C2_4_1,4089.95,20,0.2,0.4,5,0.2
C1_2_10,2620.43,10,0.6,0.2,15,0.8
RC1_4_4,7451.35,10,0.8,0.8,5,0.6
RC2_6_1,12393.01,10,0.6,0.4,5,0.6
RC1_4_1,8717.82,10,0.4,0.4,5,0.2
R1_4_6,8626.07,10,0.1,0.2,5,0.6
RC1_2_4,2868.58,10,0.4,0.6,15,0.8
RC1_8_4,27976.37,10,0.1,0.6,5,0.6
R1_6_1,21916.19,10,0.2,0.6,5,0.6
RC1_10_6,48132.52,10,0.1,0.6,5,0.6
R2_10_7,26284.74,10,0.1,0.6,5,0.8
C2_10_6,18476.34,10,0.1,0.2,5,0.8
RC1_10_5,48293.75,10,0.1,0.6,5,0.4
C1_10_3,42923.09,10,0.1,0.2,5,0.4
C2_10_8,18438.64,10,0.1,0.4,5,0.8
RC2_2_1,2794.58,10,0.6,0.2,15,0.8
R2_4_2,6660.63,10,0.6,0.6,5,0.2
R2_4_3,5548.74,10,0.6,0.8,5,0.4
R1_2_6,3580.89,10,0.4,0.6,15,0.6
C1_8_6,25126.0,10,0.8,0.4,5,0.2
C2_4_4,3629.06,20,0.6,0.6,5,0.4
RC1_8_5,30272.12,10,0.1,0.6,5,0.6
C1_10_8,42711.3,10,0.8,0.8,5,0.2
C2_2_6,1844.67,40,0.4,0.4,15,0.2
RC1_4_3,7718.35,10,0.6,0.8,5,0.4
C1_10_6,42602.82,10,0.6,0.8,5,0.2
RC2_8_10,15276.41,10,0.8,0.4,5,0.8
R1_2_7,3172.74,10,0.6,0.4,5,0.6
R1_8_8,29301.1,10,0.2,0.8,5,0.8
C1_8_10,25213.06,10,0.4,0.6,5,0.4
C1_4_1,7112.0,40,0.8,0.4,15,0.4
RC2_6_5,11584.83,10,0.8,0.6,5,0.2
C2_4_7,3917.3,10,0.6,0.2,5,0.8
RC1_6_10,16432.68,10,0.1,0.1,5,0.6
R2_10_10,33121.77,10,0.6,0.6,5,0.8
RC1_2_6,3307.38,20,0.4,0.6,15,0.4
RC2_10_9,24889.69,10,0.6,0.6,5,0.8
RC1_6_6,17356.34,10,0.4,0.8,5,0.6
R2_8_9,22448.93,10,0.6,0.2,5,0.8
R1_10_5,54424.51,10,0.2,0.8,5,0.8
R2_10_8,18895.78,10,0.6,0.8,5,0.6
C1_4_7,7077.81,10,0.1,0.1,15,0.4
R1_10_4,45154.31,10,0.1,0.1,5,0.6
R1_6_3,17894.33,10,0.6,0.8,5,0.8
RC1_8_8,30055.27,10,0.1,0.6,5,0.6
RC1_10_8,46813.78,10,0.6,0.8,5,0.1
R1_10_6,50645.76,10,0.1,0.8,5,0.6
C2_6_4,7277.37,10,0.6,0.4,5,0.4
R1_6_2,19607.95,10,0.1,0.4,5,0.4
RC2_2_8,2159.24,20,0.2,0.4,15,0.4
RC2_2_3,2227.88,10,0.8,0.1,5,0.4
R2_8_8,13903.55,10,0.2,0.6,5,0.4
RC1_6_2,16724.89,10,0.1,0.8,5,0.6
R2_8_5,24582.5,10,0.8,0.4,5,0.8
R2_6_8,8019.74,10,0.2,0.8,5,0.4
R1_2_3,3403.97,10,0.1,0.4,15,0.8
C1_2_8,2676.0,40,0.4,0.1,5,0.6
R2_6_6,12616.5,10,0.8,0.6,5,0.2
RC1_10_3,45077.95,10,0.2,0.8,5,0.6
R1_10_1,12059.8,20,0.1,0.8,5,0.1
C2_6_10,7445.64,10,0.2,0.4,5,0.4
C2_2_10,1787.9,20,0.1,0.2,25,0.2
RC2_8_1,20533.85,10,0.4,0.6,5,0.8
RC2_8_9,16252.59,10,0.6,0.4,5,0.8
RC1_8_2,29163.73,10,0.1,0.2,5,0.8
C1_4_4,6847.43,10,0.8,0.4,5,0.6
R1_10_2,15033.76,10,0.4,0.6,5,0.8
R2_4_8,4131.02,10,0.2,0.4,5,0.4
RC2_6_10,9409.34,10,0.4,0.4,5,0.8
C1_4_8,7080.75,20,0.4,0.2,5,0.2
RC2_10_6,28142.31,10,0.4,0.8,5,0.8
RC2_4_4,3659.43,10,0.4,0.2,5,0.4
C2_2_9,1813.85,10,0.2,0.2,5,0.2
R2_6_9,13500.34,10,0.8,0.6,5,0.8
RC1_10_4,43696.02,10,0.1,0.8,5,0.8
RC2_6_2,10863.1,10,0.6,0.8,5,0.2
C2_8_8,12153.75,10,0.8,0.6,5,0.8
C1_8_7,24974.53,10,0.6,0.6,5,0.1
C2_6_9,7667.62,10,0.8,0.4,5,0.8
C1_10_2,42849.25,10,0.8,0.6,5,0.2
R2_2_4,1927.64,20,0.1,0.1,15,0.2
RC1_6_5,17383.92,10,0.8,0.8,5,0.8
C2_8_6,12124.95,10,0.1,0.4,5,0.4
RC2_2_10,1986.47,10,0.8,0.2,15,0.6
R1_8_2,2306.9,20,0.8,0.6,5,0.8
RC1_4_5,8370.66,10,0.6,0.6,5,0.4
C1_2_7,2678.0,100,0.8,0.2,15,0.6
C2_8_10,12039.62,10,0.4,0.8,5,0.8
R1_2_10,3318.24,10,0.6,0.4,15,0.8
R2_10_5,37200.09,10,0.6,0.2,5,0.8
R1_6_6,18881.59,10,0.6,0.8,5,0.2
RC2_10_4,17886.64,10,0.6,0.8,5,0.4
C1_4_2,7085.93,10,0.2,0.4,5,0.2
R2_6_1,15625.43,10,0.2,0.4,5,0.8
RC1_8_7,30521.68,10,0.6,0.6,5,0.6
RC1_4_9,7921.54,10,0.6,0.6,5,0.6
C1_2_3,2664.03,10,0.1,0.2,15,0.2
RC1_6_3,15941.16,10,0.2,0.6,5,0.2
R1_10_3,28965.07,10,0.1,0.2,5,0.4
C1_2_2,2685.0,40,0.8,0.1,15,0.1
R2_4_9,6248.89,10,0.6,0.2,5,0.8
RC2_4_2,5531.31,10,0.2,0.6,5,0.2
RC2_8_5,18713.21,10,0.6,0.4,5,0.8
RC1_6_9,16622.93,10,0.1,0.6,5,0.6
C1_6_2,13952.74,10,0.4,0.4,15,0.2
RC2_8_8,16673.09,10,0.4,0.6,5,0.8
R1_10_10,50629.03,10,0.6,0.8,5,0.6
C1_6_6,14039.58,20,0.6,0.2,5,0.1
R2_2_7,2303.69,10,0.4,0.4,25,0.4
RC1_4_10,7749.8,10,0.2,0.6,5,0.6
RC2_10_8,25722.06,10,0.2,0.6,5,0.8
C1_2_1,2690.0,40,0.8,0.4,15,0.4
R1_10_7,46972.62,20,0.1,0.6,5,0.6
R2_2_1,3469.75,10,0.2,0.4,15,0.4
R2_4_10,5818.65,10,0.2,0.4,5,0.6
RC2_4_6,5417.38,10,0.6,0.2,5,0.2
RC1_4_6,8348.31,10,0.8,0.8,5,0.4
RC2_2_7,2289.13,10,0.1,0.2,15,0.8
C1_6_8,14043.12,10,0.6,0.4,5,0.2
R1_6_5,20308.68,10,0.4,0.8,5,0.4
